original,aggregated
beef offal or meat,Cattle
broiler environment,Chicken
calf,Cattle
calf faeces,Cattle
carcass swab,Chicken
cat,Cat
cattle,Cattle
cattle faeces,Cattle
CSF,Human
chick,Chicken
chicken,Chicken
chicken offal or meat,Chicken
cows milk,Cattle
dairy products,Dairy
dog,Dog
duck,Duck
environmental waters,Environment
farm environment,Farm
farm slurry,Farm
gazelle,Gazelle
giraffe,Giraffe
goat,Goat
goats milk,Goat
goose,Goose
goose faeces,Goose
horse,Horse
human blood culture,Human
human stool,Human
human unspecified,Human
lamb,Sheep
lamb offal or meat,Sheep
manure,Manure
marmoset,Marmoset
ostrich,Ostrich
other animal,Other animal
other food,MiscFood
pig,Pig
piglet,Pig
pork offal or meat,Pig
potable/drinking water,Environment
rabbit,Rabbit
sand (bathing beach),Environment
sediments,Environment
sheep,Sheep
sheep faeces,Sheep
soil,Environment
sparrow,Wild bird
starling,Wild bird
turkey,Turkey
turkey offal or meat,Turkey
vegetables,Vegetables
wild bird,Wild bird
Unknown,Unknown